Title,Salary,Location,Employment Type,Link
Нічний системний адміністратор,32 000 - 35 000 грн. / за місяць,"Дніпро, Соборний","Дніпро, Соборний",https://www.olx.ua/uk/obyavlenie/rabota/nchniy-sistemniy-admnstrator-IDVR0Vm.html
Trainee Front-end developer,23 000 - 27 000 грн. / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/trainee-front-end-developer-IDVRd0s.html
Оператор чату ..,10 000 - 15 000 грн. / за місяць,Кременчук,Кременчук,https://www.olx.ua/uk/obyavlenie/rabota/operator-chatu-IDVRsS8.html
Терміново Системний Адміністратор,30 000 - 50 000 грн. / за місяць,Умань,Умань,https://www.olx.ua/uk/obyavlenie/rabota/termnovo-sistemniy-admnstrator-IDVPdkR.html
Trainee Java Developer,26 000 - 31 000 грн. / за місяць,"Київ, Подільський","Київ, Подільський",https://www.olx.ua/uk/obyavlenie/rabota/trainee-java-developer-IDVhZqY.html
Вакансія рекрутера — потрібні відповідальні люди,20 000 - 30 000 грн. / за місяць,Чернігів,Чернігів,https://www.olx.ua/uk/obyavlenie/rabota/vakansya-rekrutera-potrbn-vdpovdaln-lyudi-IDVKYjH.html
Оператори в комп'ютерний клуб(м.Запоріжжя),12 500 - 17 000 грн. / за місяць,"Запоріжжя, Вознесенівський","Запоріжжя, Вознесенівський",https://www.olx.ua/uk/obyavlenie/rabota/operatori-v-kompyuterniy-klubm-zaporzhzhya-IDWjgDh.html
Майстер з ремонту кондиціонерів (кондиціонерщик),50 000 - 100 000 грн. / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-konditsonerv-konditsonerschik-IDUUKxV.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Харків, Шевченківський","Харків, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDUh0bQ.html
Вакансія рекрутера — потрібні відповідальні люди,20 000 - 30 000 грн. / за місяць,Чернігів,Чернігів,https://www.olx.ua/uk/obyavlenie/rabota/vakansya-rekrutera-potrbn-vdpovdaln-lyudi-IDVKYjH.html
Требуется мастер инженер по ремонту лазерных принтеров,100 - 500 грн. / за годину,"Київ, Святошинський","Київ, Святошинський",https://www.olx.ua/uk/obyavlenie/rabota/trebuetsya-master-inzhener-po-remontu-lazernyh-printerov-IDTDxm5.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Одеса, Приморський","Одеса, Приморський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDTmvjB.html
Майстер по ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Київ, Солом'янський","Київ, Солом'янський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-po-remontu-kompyuterno-tehnki-IDTwi7S.html
"Робота! БЕЗ ДОСВІДУ! Оператор 1 С, комп""ютерного набору, Чернівці",13 000 - 13 500 грн. / за місяць,Чернівці,Чернівці,https://www.olx.ua/uk/obyavlenie/rabota/robota-bez-dosvdu-operator-1-s-komp-yuternogo-naboru-chernvts-IDNDn4X.html
Монтажник слаботочных систем (электротехник),18 000 - 32 000 грн. / за місяць,"Одеса, Київський","Одеса, Київський",https://www.olx.ua/uk/obyavlenie/rabota/montazhnik-slabotochnyh-sistem-elektrotehnik-IDVMgbD.html
"Оператор комп'ютерного набору, оператор 1С, Мукачево",12 000 - 12 100 грн. / за місяць,Мукачево,Мукачево,https://www.olx.ua/uk/obyavlenie/rabota/operator-kompyuternogo-naboru-operator-1s-mukachevo-IDJicak.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Запоріжжя, Вознесенівський","Запоріжжя, Вознесенівський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDWBVQf.html
Помічник майстра,12 000 - 18 000 грн. / за місяць,Софіївська Борщагівка,Софіївська Борщагівка,https://www.olx.ua/uk/obyavlenie/rabota/pomchnik-maystra-IDWBjKu.html
Робота СРОЧНО Оператор ПК 1-й Заводской проулок 2,10 000 - 11 000 грн. / за місяць,Суми,Суми,https://www.olx.ua/uk/obyavlenie/rabota/robota-srochno-operator-pk-1-y-zavodskoy-proulok-2-IDN5XsC.html
Необхiдний технiчний спецiалiст з ремонту,30 000 - 60 000 грн. / за місяць,"Київ, Подільський","Київ, Подільський",https://www.olx.ua/uk/obyavlenie/rabota/neobhidniy-tehnichniy-spetsialist-z-remontu-IDVmx7n.html
Терміново Системний адміністратор,30 000 - 40 000 грн. / за місяць,"Кропивницький, Фортечний","Кропивницький, Фортечний",https://www.olx.ua/uk/obyavlenie/rabota/termnovo-sistemniy-admnstrator-IDVPNyT.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Дніпро, Центральний","Дніпро, Центральний",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDTna38.html
Профессиональная команда в поиске специалиста в IT сфере,2 000 - 3 000 $ / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/professionalnaya-komanda-v-poiske-spetsialista-v-it-sfere-IDVRBUm.html
провідний спеціаліст відділу інформатизації виконком районної ради,14 000 - 16 000 грн. / за місяць,"Кривий Ріг, Саксаганський","Кривий Ріг, Саксаганський",https://www.olx.ua/uk/obyavlenie/rabota/provdniy-spetsalst-vddlu-nformatizats-vikonkom-rayonno-radi-IDVRpQM.html
Нужен сис админ зп от 17 000 грн,15 000 - 30 000 грн. / за місяць,"Дніпро, Соборний","Дніпро, Соборний",https://www.olx.ua/uk/obyavlenie/rabota/nuzhen-sis-admin-zp-ot-17-000-grn-IDWGVlI.html
Відкрита вакансія IT спеціаліст,17 000 - 23 000 грн. / за місяць,Умань,Умань,https://www.olx.ua/uk/obyavlenie/rabota/vdkrita-vakansya-it-spetsalst-IDVOq7C.html
Інженер сервісний (на власному авто),24 000 - 30 000 грн. / за місяць,"Київ, Подільський","Київ, Подільський",https://www.olx.ua/uk/obyavlenie/rabota/nzhener-servsniy-na-vlasnomu-avto-IDVPhFf.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Кривий Ріг, Саксаганський","Кривий Ріг, Саксаганський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDTn5gp.html
"РОБОТА! Оператор комп'ютерного набору, 1 С, м.Вінниця",11 999 - 12 000 грн. / за місяць,"Вінниця, Замостянський","Вінниця, Замостянський",https://www.olx.ua/uk/obyavlenie/rabota/robota-operator-kompyuternogo-naboru-1-s-m-vnnitsya-IDUZK12.html
Майстер ремонт цифрової техніки 50000 за місяць,30 000 - 50 000 грн. / за місяць,Чернівці,Чернівці,https://www.olx.ua/uk/obyavlenie/rabota/mayster-remont-tsifrovo-tehnki-50000-za-msyats-IDVIe4R.html
Спеціаліст з ведення перемовин (чеська\словацька\польська мова),1 500 - 2 000 $ / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/spetsalst-z-vedennya-peremovin-cheska-slovatska-polska-mova-IDVH9aT.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Харків, Шевченківський","Харків, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDUh0bQ.html
Профессиональная команда в поиске специалиста в IT сфере,2 000 - 3 000 $ / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/professionalnaya-komanda-v-poiske-spetsialista-v-it-sfere-IDVRBUm.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Харків, Шевченківський","Харків, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDUh0bQ.html
Вакансія рекрутера — потрібні відповідальні люди,20 000 - 30 000 грн. / за місяць,Чернігів,Чернігів,https://www.olx.ua/uk/obyavlenie/rabota/vakansya-rekrutera-potrbn-vdpovdaln-lyudi-IDVKYjH.html
Робота дистанційно,50 - 1 000 $ / за місяць,Чернівці,Чернівці,https://www.olx.ua/uk/obyavlenie/rabota/robota-distantsyno-IDVP6oA.html
Менеджер телеграм,500 - 40 000 грн. / за місяць,Рівне,Рівне,https://www.olx.ua/uk/obyavlenie/rabota/menedzher-telegram-IDVQIjS.html
Тестувальник мобільних ігор,17 000 - 22 000 грн. / за місяць,Біла Церква,Біла Церква,https://www.olx.ua/uk/obyavlenie/rabota/testuvalnik-moblnih-gor-IDVOWac.html
Шукаємо Photoshop Дизайнера,8 000 грн. / за місяць,Ходосівка,Ходосівка,https://www.olx.ua/uk/obyavlenie/rabota/shukamo-photoshop-dizaynera-IDVNu6c.html
Ищем тестировщиков для пк игр,10 000 - 15 000 грн. / за місяць,"Одеса, Приморський","Одеса, Приморський",https://www.olx.ua/uk/obyavlenie/rabota/ischem-testirovschikov-dlya-pk-igr-IDVOBYn.html
Trainee Mobile Developer (повне навчання),20 000 - 25 000 грн. / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/trainee-mobile-developer-povne-navchannya-IDVit6L.html
Програміст python,1 000 - 10 000 $ / за місяць,Івано-Франківськ,Івано-Франківськ,https://www.olx.ua/uk/obyavlenie/rabota/programst-python-IDVPe8C.html
Тестувальник VR-ігор (не віддалено),15 600 - 18 500 грн. / за місяць,Кам'янське,Кам'янське,https://www.olx.ua/uk/obyavlenie/rabota/testuvalnik-vr-gor-ne-vddaleno-IDVOYOd.html
Офіс менеджер (оператор пк),20 000 - 50 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/ofs-menedzher-operator-pk-IDVPS87.html
Монтажник оптоволоконних мереж,30 000 - 50 000 грн. / за місяць,"Дніпро, Новокодацький","Дніпро, Новокодацький",https://www.olx.ua/uk/obyavlenie/rabota/montazhnik-optovolokonnih-merezh-IDVQHai.html
Запрошуємо майстрів з ремонту комп'ютерів – заробіток до 80 000 грн на,40 000 - 80 000 грн. / за місяць,"Львів, Галицький","Львів, Галицький",https://www.olx.ua/uk/obyavlenie/rabota/zaproshumo-maystrv-z-remontu-kompyuterv-zarobtok-do-80-000-grn-na-IDVFZJV.html
"Шукаємо на посаду Програміст, web-дизайнер (PR, SEO, SM)",15 000 - 30 000 грн. / за місяць,"Київ, Дарницький","Київ, Дарницький",https://www.olx.ua/uk/obyavlenie/rabota/shukamo-na-posadu-programst-web-dizayner-pr-seo-sm-IDNusow.html
Терміново Системний адміністратор,30 000 - 40 000 грн. / за місяць,"Кропивницький, Фортечний","Кропивницький, Фортечний",https://www.olx.ua/uk/obyavlenie/rabota/termnovo-sistemniy-admnstrator-IDVPNyT.html
"Автоматическое добавление обменов авто для авториа, рст, автобазар",500 - 1 000 грн. / за годину,"Дніпро, Амур-Нижньодніпровський","Дніпро, Амур-Нижньодніпровський",https://www.olx.ua/uk/obyavlenie/rabota/avtomaticheskoe-dobavlenie-obmenov-avto-dlya-avtoria-rst-avtobazar-IDVPNXQ.html
Оператор обліку (1С),,"Дніпро, Соборний","Дніпро, Соборний",https://www.olx.ua/uk/obyavlenie/rabota/operator-oblku-1s-IDVP09i.html
Работа в популярных компьютерных играх.,10 000 - 25 000 грн. / за місяць,"Львів, Галицький","Львів, Галицький",https://www.olx.ua/uk/obyavlenie/rabota/rabota-v-populyarnyh-kompyuternyh-igrah-IDTEEqT.html
Помічник ASO-спеціаліста(без досвіду),500 - 501 $ / за місяць,Сміла,Сміла,https://www.olx.ua/uk/obyavlenie/rabota/pomchnik-aso-spetsalstabez-dosvdu-IDVOTUA.html
Сервісний центр ServiceHub,6 000 - 10 000 грн. / за місяць,"Кривий Ріг, Покровський","Кривий Ріг, Покровський",https://www.olx.ua/uk/obyavlenie/rabota/servsniy-tsentr-servicehub-IDVP0Gb.html
Компьютерный мастер. Сервис инженер. Мастер по Ремонту,34 000 - 37 000 грн. / за місяць,"Харків, Шевченківський","Харків, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/kompyuternyy-master-servis-inzhener-master-po-remontu-IDVvLkj.html
Виїзний Комп'ютерний Майстер,27 000 - 32 000 грн. / за місяць,Тернопіль,Тернопіль,https://www.olx.ua/uk/obyavlenie/rabota/vizniy-kompyuterniy-mayster-IDTYujL.html
Trainee python developer,28 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/trainee-python-developer-IDVPGop.html
Выездной Компьютерный Мастер,35 000 - 38 000 грн. / за місяць,"Кривий Ріг, Центрально-Міський","Кривий Ріг, Центрально-Міський",https://www.olx.ua/uk/obyavlenie/rabota/vyezdnoy-kompyuternyy-master-IDUJk7T.html
Требуется монтажер видео в Capcut,14 000 - 18 000 грн. / за місяць,"Харків, Холодногірський","Харків, Холодногірський",https://www.olx.ua/uk/obyavlenie/rabota/trebuetsya-montazher-video-v-capcut-IDVKuPX.html
Ремонт зарядных станций и компьютеров,50 000 - 80 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/remont-zaryadnyh-stantsiy-i-kompyuterov-IDVmIOL.html
Администратор социальных сетей,27 000 - 51 000 грн. / за місяць,Нікополь,Нікополь,https://www.olx.ua/uk/obyavlenie/rabota/administrator-sotsialnyh-setey-IDVQ8OZ.html
Майстер з ремонту комп'ютерів,34 000 - 36 000 грн. / за місяць,Тернопіль,Тернопіль,https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterv-IDVvwme.html
Монтажник кабельних мереж,10 000 - 14 000 грн. / за місяць,Золотоноша,Золотоноша,https://www.olx.ua/uk/obyavlenie/rabota/montazhnik-kabelnih-merezh-IDVPcFA.html
Майстер по ремонту телевізорів або компьютерів,45 000 - 115 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-po-remontu-televzorv-abo-kompyuterv-IDVNLK9.html
"SEO - спеціаліст, віддалено, дистанційна робота",40 000 - 45 000 грн. / за місяць,Хмельницький,Хмельницький,https://www.olx.ua/uk/obyavlenie/rabota/seo-spetsalst-vddaleno-distantsyna-robota-IDWQMuV.html
Мастер по ремонту телефонов и ноутбуков,15 000 - 30 000 грн. / за місяць,"Миколаїв, Центральний","Миколаїв, Центральний",https://www.olx.ua/uk/obyavlenie/rabota/master-po-remontu-telefonov-i-noutbukov-IDVORm6.html
Вакансія SEO Manager,2 200 - 2 500 $ / за місяць,"Київ, Голосіївський","Київ, Голосіївський",https://www.olx.ua/uk/obyavlenie/rabota/vakansya-seo-manager-IDVPHTu.html
Комп'ютерний Майстер. Майстер з ремонту електроніки,40 000 - 50 000 грн. / за місяць,"Дніпро, Центральний","Дніпро, Центральний",https://www.olx.ua/uk/obyavlenie/rabota/kompyuterniy-mayster-mayster-z-remontu-elektronki-IDVuB08.html
Junior Java Developer,20 000 - 23 000 грн. / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/junior-java-developer-IDVPqsw.html
Терміново потрібен ІТ спеціаліст,80 000 - 100 000 грн. / за місяць,"Дніпро, Центральний","Дніпро, Центральний",https://www.olx.ua/uk/obyavlenie/rabota/termnovo-potrben-t-spetsalst-IDVHL4H.html
Оператор фото-копі-центра. Поліграфічні послуги. Ксерокс,16 000 - 25 000 грн. / за місяць,"Київ, Оболонський","Київ, Оболонський",https://www.olx.ua/uk/obyavlenie/rabota/operator-foto-kop-tsentra-polgrafchn-poslugi-kseroks-IDT0zuj.html
Необхiдний технiчний спецiалiст з ремонту,30 000 - 60 000 грн. / за місяць,"Київ, Подільський","Київ, Подільський",https://www.olx.ua/uk/obyavlenie/rabota/neobhidniy-tehnichniy-spetsialist-z-remontu-IDVmx7n.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Дніпро, Центральний","Дніпро, Центральний",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDTna38.html
Монтажник слаботочных систем (электротехник),18 000 - 32 000 грн. / за місяць,"Одеса, Київський","Одеса, Київський",https://www.olx.ua/uk/obyavlenie/rabota/montazhnik-slabotochnyh-sistem-elektrotehnik-IDVMgbD.html
Програміст для виконання робіт в інтернет-магазині,10 - 15 $ / за годину,"Дніпро, Амур-Нижньодніпровський","Дніпро, Амур-Нижньодніпровський",https://www.olx.ua/uk/obyavlenie/rabota/programst-dlya-vikonannya-robt-v-nternet-magazin-IDVOXz3.html
Запрошуємо майстрів з ремонту комп'ютерів – заробіток до 80 000 грн на,40 000 - 80 000 грн. / за місяць,"Львів, Галицький","Львів, Галицький",https://www.olx.ua/uk/obyavlenie/rabota/zaproshumo-maystrv-z-remontu-kompyuterv-zarobtok-do-80-000-grn-na-IDVFZJV.html
"Шукаємо на посаду Програміст, web-дизайнер (PR, SEO, SM)",15 000 - 30 000 грн. / за місяць,"Київ, Дарницький","Київ, Дарницький",https://www.olx.ua/uk/obyavlenie/rabota/shukamo-na-posadu-programst-web-dizayner-pr-seo-sm-IDNusow.html
"Аккаунт менеджер (чеська, словацька, польська)",45 000 - 60 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/akkaunt-menedzher-cheska-slovatska-polska-IDVowFK.html
Майстер з ремонту комп'ютерної техніки Домофон-Сек'юріті (РАМсервіс),20 000 - 40 000 грн. / за місяць,Івано-Франківськ,Івано-Франківськ,https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnkidomofon-sekyurt-ramservs-IDVeWuN.html
Монтажник кабельних мереж (інтернет),,"Київ, Дніпровський","Київ, Дніпровський",https://www.olx.ua/uk/obyavlenie/rabota/montazhnik-kabelnih-merezh-nternet-IDVQWHJ.html
Провідний майстер з ремонту техніки (мультибренд),40 000 - 60 000 грн. / за місяць,"Львів, Шевченківський","Львів, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/provdniy-mayster-z-remontu-tehnki-multibrend-IDVHdZ4.html
Ремонт зарядных станций и компьютеров,50 000 - 80 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/remont-zaryadnyh-stantsiy-i-kompyuterov-IDVmIOL.html
Системний адміністратор супермаркету,16 000 - 17 000 грн. / за місяць,Нікополь,Нікополь,https://www.olx.ua/uk/obyavlenie/rabota/sistemniy-admnstrator-supermarketu-IDVLcCj.html
Майстр по ремонту принтерів та ПК,20 000 - 25 000 грн. / за місяць,"Кривий Ріг, Центрально-Міський","Кривий Ріг, Центрально-Міський",https://www.olx.ua/uk/obyavlenie/rabota/maystr-po-remontu-printerv-ta-pk-IDVdl5O.html
Інженер сервісний (на власному авто),24 000 - 30 000 грн. / за місяць,"Київ, Подільський","Київ, Подільський",https://www.olx.ua/uk/obyavlenie/rabota/nzhener-servsniy-na-vlasnomu-avto-IDVPhFf.html
Запрошуємо майстрів з ремонту комп'ютерів – заробіток до 80 000 грн на,40 000 - 80 000 грн. / за місяць,"Львів, Галицький","Львів, Галицький",https://www.olx.ua/uk/obyavlenie/rabota/zaproshumo-maystrv-z-remontu-kompyuterv-zarobtok-do-80-000-grn-na-IDVFZJV.html
Терміново потрібен ІТ спеціаліст,80 000 - 100 000 грн. / за місяць,"Дніпро, Центральний","Дніпро, Центральний",https://www.olx.ua/uk/obyavlenie/rabota/termnovo-potrben-t-spetsalst-IDVHL4H.html
Оператор ПК в команду,8 000 - 12 000 грн. / за місяць,"Київ, Дніпровський","Київ, Дніпровський",https://www.olx.ua/uk/obyavlenie/rabota/operator-pk-v-komandu-IDVNnrg.html
Тrainee QA Engineer,30 000 - 35 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/trainee-qa-engineer-IDVhhSC.html
Потрібна людина на прийняття техніки на ремонт,10 000 - 20 000 грн. / за місяць,"Житомир, Центр","Житомир, Центр",https://www.olx.ua/uk/obyavlenie/rabota/potrbna-lyudina-na-priynyattya-tehnki-na-remont-IDW5mJS.html
Збиральник ПК в магазин техніки,24 000 - 27 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/zbiralnik-pk-v-magazin-tehnki-IDVOrOH.html
Тестирование мобильной игры на ios,300 - 600 грн. / за годину,"Одеса, Київський","Одеса, Київський",https://www.olx.ua/uk/obyavlenie/rabota/testirovanie-mobilnoy-igry-na-ios-IDVKWp8.html
Ищу мастера по ремонту радиоаппаратуры,100 грн. / за годину,Корсунці,Корсунці,https://www.olx.ua/uk/obyavlenie/rabota/ischu-mastera-po-remontu-radioapparatury-IDQzJsH.html
Виїзний Майстер з ремонту комп'ютерної техніки,35 000 - 40 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/vizniy-mayster-z-remontu-kompyuterno-tehnki-IDUih8J.html
Майстер з підключення інтернету та ТБ (з власним авто),35 000 - 40 000 грн. / за місяць,"Київ, Солом'янський","Київ, Солом'янський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-pdklyuchennya-nternetu-ta-tb-z-vlasnim-avto-IDVOwro.html
"Trainee GameDev-тестувальник, Київ",20 000 - 25 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/trainee-gamedev-testuvalnik-kiv-IDUsjpq.html
"Оператор ПК, Обліковець на склад фурнітури",14 000 - 16 000 грн. / за місяць,Стрий,Стрий,https://www.olx.ua/uk/obyavlenie/rabota/operator-pk-oblkovets-na-sklad-furnturi-IDVNRUR.html
Терміново Системний Адміністратор,30 000 - 50 000 грн. / за місяць,Умань,Умань,https://www.olx.ua/uk/obyavlenie/rabota/termnovo-sistemniy-admnstrator-IDVPdkR.html
Trainee python developer,28 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/trainee-python-developer-IDVPGop.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Кривий Ріг, Саксаганський","Кривий Ріг, Саксаганський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDTn5gp.html
Молодший Розробник ПЗ (Junior Software Developer),17 000 - 19 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/molodshiy-rozrobnik-pz-junior-software-developer-IDUjkvX.html
Шукаємо оператора 1С для підтримки обліку,15 000 - 17 000 грн. / за місяць,Чернігів,Чернігів,https://www.olx.ua/uk/obyavlenie/rabota/shukamo-operatora-1s-dlya-pdtrimki-oblku-IDVxPxR.html
Java розробник (junior),20 000 - 24 000 грн. / за місяць,"Київ, Солом'янський","Київ, Солом'янський",https://www.olx.ua/uk/obyavlenie/rabota/java-rozrobnik-junior-IDVOlKl.html
Майстер з ремонту комп'ютерної техніки,20 000 - 40 000 грн. / за місяць,"Вінниця, Замостянський","Вінниця, Замостянський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDTQqlE.html
Робота в майстерні по ремонту побутової техніки.Навчання.,15 000 - 25 000 грн. / за місяць,Рівне,Рівне,https://www.olx.ua/uk/obyavlenie/rabota/robota-v-maystern-po-remontu-pobutovo-tehnki-navchannya-IDLQCsp.html
Verification Specialist,8 500 - 9 000 грн. / за місяць,Кременчук,Кременчук,https://www.olx.ua/uk/obyavlenie/rabota/verification-specialist-IDV7FTz.html
Системний адміністратор,30 000 - 50 000 грн. / за місяць,Умань,Умань,https://www.olx.ua/uk/obyavlenie/rabota/sistemniy-admnstrator-IDVOo3J.html
Майстер/технік з підключення інтернету (авто — must have),35 000 - 40 000 грн. / за місяць,"Київ, Солом'янський","Київ, Солом'янський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-tehnk-z-pdklyuchennya-nternetu-avto-must-have-IDVOw84.html
Майстер з ремонту комп'ютерів. Майстер з ремонту електроніки,35 000 - 40 000 грн. / за місяць,Кременчук,Кременчук,https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterv-mayster-z-remontu-elektronki-IDWLXIM.html
Шукаємо майстра з ремонту електронної техніки,50 000 - 120 000 грн. / за місяць,Дзюби,Дзюби,https://www.olx.ua/uk/obyavlenie/rabota/shukamo-maystra-z-remontu-elektronno-tehnki-IDVNxyD.html
Требуется монтажер видео в Capcut,14 000 - 18 000 грн. / за місяць,"Харків, Холодногірський","Харків, Холодногірський",https://www.olx.ua/uk/obyavlenie/rabota/trebuetsya-montazher-video-v-capcut-IDVKuPX.html
Онлайн робота/Без досвіду/Щоденна оплата/Перекладачем тексту,500 - 700 $ / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/onlayn-robota-bez-dosvdu-schodenna-oplata-perekladachem-tekstu-IDVR4Tu.html
Монтажник слаботочных систем (электротехник),18 000 - 32 000 грн. / за місяць,"Одеса, Київський","Одеса, Київський",https://www.olx.ua/uk/obyavlenie/rabota/montazhnik-slabotochnyh-sistem-elektrotehnik-IDVMgbD.html
Компанія Netpeak Group шукає в одеський офіс Provision Engineer,400 - 600 $ / за місяць,"Одеса, Київський","Одеса, Київський",https://www.olx.ua/uk/obyavlenie/rabota/kompanya-netpeak-group-shuka-v-odeskiy-ofs-provision-engineer-IDVND5J.html
Технік з обслуговування мережі (власне авто обов’язкове),35 000 - 45 000 грн. / за місяць,"Київ, Солом'янський","Київ, Солом'янський",https://www.olx.ua/uk/obyavlenie/rabota/tehnk-z-obslugovuvannya-merezh-vlasne-avto-obovyazkove-IDVOuhN.html
Нужен Программист на удалённую работу,900 - 1 300 грн. / за годину,"Дніпро, Центральний","Дніпро, Центральний",https://www.olx.ua/uk/obyavlenie/rabota/nuzhen-programmist-na-udalennuyu-rabotu-IDVOBPG.html
Системний адміністратор,32 000 - 33 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/sistemniy-admnstrator-IDVNjXr.html
Художник комп'ютерної графіки віддалено,550 - 551 $ / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/hudozhnik-kompyuterno-grafki-vddaleno-IDVKLDH.html
"Trainee project-менеджер (не віддалено, Київ)",23 000 - 27 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/trainee-project-menedzher-ne-vddaleno-kiv-IDVx9Qc.html
Нужен Комп'ютерний мастер Одесса ( Пересыпский Район),50 000 - 80 000 грн. / за місяць,"Одеса, Пересипський","Одеса, Пересипський",https://www.olx.ua/uk/obyavlenie/rabota/nuzhen-kompyuterniy-master-odessa-peresypskiy-rayon-IDVswbu.html
"Сервисный Мастер по ремонту телевизоров, ноутбуков и др. Электронщик",37 000 - 40 000 грн. / за місяць,"Кривий Ріг, Центрально-Міський","Кривий Ріг, Центрально-Міський",https://www.olx.ua/uk/obyavlenie/rabota/servisnyy-master-po-remontu-televizorov-noutbukov-i-dr-elektronschik-IDUFTIv.html
Потрібен Оператор ПК,8 000 - 12 000 грн. / за місяць,"Київ, Голосіївський","Київ, Голосіївський",https://www.olx.ua/uk/obyavlenie/rabota/potrben-operator-pk-IDVeOAD.html
